============================================================
ROWS WITH EMPTY TARGET COLUMN
============================================================
Timestamp: 2025-12-11 15:38:34
Total rows with empty column: 4675
Row 919: Target column is empty
Row 920: Target column is empty
Row 921: Target column is empty
Row 922: Target column is empty
Row 923: Target column is empty
Row 924: Target column is empty
Row 925: Target column is empty
Row 926: Target column is empty
Row 927: Target column is empty
Row 928: Target column is empty
Row 929: Target column is empty
Row 930: Target column is empty
Row 931: Target column is empty
Row 932: Target column is empty
Row 933: Target column is empty
Row 934: Target column is empty
Row 935: Target column is empty
Row 936: Target column is empty
Row 937: Target column is empty
Row 938: Target column is empty
Row 939: Target column is empty
Row 940: Target column is empty
Row 941: Target column is empty
Row 942: Target column is empty
Row 943: Target column is empty
Row 944: Target column is empty
Row 945: Target column is empty
Row 946: Target column is empty
Row 947: Target column is empty
Row 948: Target column is empty
Row 949: Target column is empty
Row 950: Target column is empty
Row 951: Target column is empty
Row 952: Target column is empty
Row 953: Target column is empty
Row 954: Target column is empty
Row 955: Target column is empty
Row 956: Target column is empty
Row 957: Target column is empty
Row 958: Target column is empty
Row 959: Target column is empty
Row 960: Target column is empty
Row 961: Target column is empty
Row 962: Target column is empty
Row 963: Target column is empty
Row 964: Target column is empty
Row 965: Target column is empty
Row 966: Target column is empty
Row 967: Target column is empty
Row 968: Target column is empty
Row 969: Target column is empty
Row 970: Target column is empty
Row 971: Target column is empty
Row 972: Target column is empty
Row 973: Target column is empty
Row 974: Target column is empty
Row 975: Target column is empty
Row 976: Target column is empty
Row 977: Target column is empty
Row 978: Target column is empty
Row 979: Target column is empty
Row 980: Target column is empty
Row 981: Target column is empty
Row 982: Target column is empty
Row 983: Target column is empty
Row 984: Target column is empty
Row 985: Target column is empty
Row 986: Target column is empty
Row 987: Target column is empty
Row 988: Target column is empty
Row 989: Target column is empty
Row 990: Target column is empty
Row 991: Target column is empty
Row 992: Target column is empty
Row 993: Target column is empty
Row 994: Target column is empty
Row 995: Target column is empty
Row 996: Target column is empty
Row 997: Target column is empty
Row 998: Target column is empty
Row 999: Target column is empty
Row 1000: Target column is empty
Row 1001: Target column is empty
Row 1002: Target column is empty
Row 1003: Target column is empty
Row 1004: Target column is empty
Row 1005: Target column is empty
Row 1006: Target column is empty
Row 1007: Target column is empty
Row 1008: Target column is empty
Row 1009: Target column is empty
Row 1010: Target column is empty
Row 1011: Target column is empty
Row 1012: Target column is empty
Row 1013: Target column is empty
Row 1014: Target column is empty
Row 1015: Target column is empty
Row 1016: Target column is empty
Row 1017: Target column is empty
Row 1018: Target column is empty
Row 1019: Target column is empty
Row 1020: Target column is empty
Row 1021: Target column is empty
Row 1022: Target column is empty
Row 1023: Target column is empty
Row 1024: Target column is empty
Row 1025: Target column is empty
Row 1026: Target column is empty
Row 1027: Target column is empty
Row 1028: Target column is empty
Row 1029: Target column is empty
Row 1030: Target column is empty
Row 1031: Target column is empty
Row 1032: Target column is empty
Row 1033: Target column is empty
Row 1034: Target column is empty
Row 1035: Target column is empty
Row 1036: Target column is empty
Row 1037: Target column is empty
Row 1038: Target column is empty
Row 1039: Target column is empty
Row 1040: Target column is empty
Row 1041: Target column is empty
Row 1042: Target column is empty
Row 1043: Target column is empty
Row 1044: Target column is empty
Row 1045: Target column is empty
Row 1046: Target column is empty
Row 1047: Target column is empty
Row 1048: Target column is empty
Row 1049: Target column is empty
Row 1050: Target column is empty
Row 1051: Target column is empty
Row 1052: Target column is empty
Row 1053: Target column is empty
Row 1054: Target column is empty
Row 1055: Target column is empty
Row 1056: Target column is empty
Row 1057: Target column is empty
Row 1058: Target column is empty
Row 1059: Target column is empty
Row 1060: Target column is empty
Row 1061: Target column is empty
Row 1062: Target column is empty
Row 1063: Target column is empty
